01b65982-565e-4d38-8f0c-be00a7ce1ae6,ab52cd17-e597-4c87-a26c-f72ef9c6aeb9,0,img,图片,NULL,nvarchar,50,0,1,1,NULL,NULL,NULL,dbo.cmsArticleImg(sId),2,NULL,0,1,80,NULL,0,0,NULL,NULL,36,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-06 11:47:52.6155321 +08:00,624c460c-aa32-4f56-850b-3f08fd4848bf,2019-11-05 14:03:40.1353353 +08:00,0x00000000022FD1B8
01c8b9ea-7dc6-463a-87dc-14630561d193,b6372bcc-7877-4829-ad76-08e4a74cabbc,0,createUser,创建人,创建人,varchar,36,0,1,1,0,NULL,NULL,dbo.springHrUser_GetName(createUser),2,NULL,1,1,80,NULL,1,1,-1,NULL,15,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-11-07 13:24:19.4867690 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-11-07 13:28:11.7220020 +08:00,0x0000000000305584
01cf6de2-9875-47e5-a64b-ad529561f58f,8c810340-4046-4fb7-bdb8-59952b0edd29,1,time,时间,时间,datetimeoffset,34,7,1,1,0,NULL,NULL,NULL,12,NULL,1,0,60,NULL,1,1,-1,NULL,12,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-05-09 18:00:17.3884625 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-09-24 08:41:04.2462060 +08:00,0x000000000025C04A
01ec107b-3b1d-4ef5-b102-95f458d3ffcc,7384f5eb-7047-4761-90c5-2e10fe2a057e,1,bit2,bit2,bit2,bit,1,0,1,1,0,NULL,NULL,NULL,2,NULL,1,0,60,NULL,1,1,-1,NULL,29,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-08-30 08:45:53.2607038 +08:00,624c460c-aa32-4f56-850b-3f08fd4848bf,2019-11-05 16:18:05.7235483 +08:00,0x00000000022FD233
0201b239-4187-4e13-a5eb-22d4399ae56d,4518c812-24bd-4f7a-b2b0-c31e6c134fd4,1,sId,sId,sId,varchar,36,0,1,1,0,NULL,NULL,NULL,2,NULL,0,0,80,NULL,1,1,-1,NULL,1,624c460c-aa32-4f56-850b-3f08fd4848bf,2019-11-04 16:14:23.6179641 +08:00,624c460c-aa32-4f56-850b-3f08fd4848bf,2019-11-04 16:25:25.5084098 +08:00,0x00000000022FCFEE
02044773-4974-455d-9cd6-8528ea599279,ab52cd17-e597-4c87-a26c-f72ef9c6aeb9,1,title,标题,标题,nvarchar,256,0,1,1,0,NULL,NULL,NULL,5,NULL,1,0,230,NULL,1,1,-1,NULL,6,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-06-06 11:33:56.2859736 +08:00,624c460c-aa32-4f56-850b-3f08fd4848bf,2019-11-05 14:03:40.1353353 +08:00,0x00000000022FD1B9
020d173a-a0d4-436f-a087-085a9a5e6e94,2f05779f-9bcb-42d2-ac39-ce97cd9ddbc1,1,name2,名称,name2,nvarchar,257,0,1,1,0,NULL,NULL,NULL,2,NULL,1,0,150,NULL,1,1,-1,NULL,29,295e169d-cf86-4077-b8a9-4c5ec42b565d,2014-12-19 23:38:49.3637785 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2014-12-19 23:44:17.4753998 +08:00,0x00000000001A39F5
0251b3b9-443f-41cc-acaa-00eeed986349,60192800-cc1b-4011-b656-11823a07255b,1,int2,int2,int2,int,10,0,1,1,0,NULL,NULL,NULL,10,NULL,1,0,60,NULL,1,1,-1,NULL,9,d938fa32-b8f3-4517-b6bc-3856c73ac19b,2014-06-05 17:38:47.6514656 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2015-08-14 09:03:27.6782291 +08:00,0x00000000001AFF37
0251e379-8b66-44a8-87ff-6efffc04a252,3b2be63e-27cd-4948-83e5-e5538add362c,1,nickname,昵称,nickname,nvarchar,30,0,1,1,0,NULL,NULL,NULL,2,NULL,1,0,80,NULL,1,1,-1,NULL,5,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-03 10:36:26.7116832 +08:00,295e169d-cf86-4077-b8a9-4c5ec42b565d,2019-01-04 10:29:31.0379546 +08:00,0x00000000022B7D79
02840929-7927-4aad-ba45-541b2d0acfb0,6e063aba-7fd9-44ee-b30d-804daab02948,1,char2,char2,char2,nvarchar,256,0,1,1,0,NULL,NULL,NULL,2,NULL,1,0,80,NULL,1,1,-1,NULL,15,47c0bf38-8e92-43ea-8cfe-e3a7a7991e17,2019-03-21 14:26:52.8566462 +08:00,47c0bf38-8e92-43ea-8cfe-e3a7a7991e17,2019-03-24 14:07:58.7513858 +08:00,0x00000000022BE0C2
